
country,year,bank_z_score,capital_adequacy_ratio,credit_private_sector,gdp_growth,inflation,npl_ratio,credit_growth,ecb_refi_rate,interest_rate,credit_growth_log,unemployment
FR,2009,15.92815,12.4,95.0645616306552,-2.82455153714783,0.105961139274143,4.58399416878334,2.6564286826276096,1.0,1.0,2.621758272118413,9.122
FR,2010,16.63905,12.670673,95.8136795554436,2.00032476039051,1.089446423803,4.3272048253125,0.7880096556894367,1.0,1.0,0.7849210745368929,9.279
FR,2011,15.13395,12.324261,96.6163620011702,2.43757653729007,0.851478363204762,4.89276263549823,0.8377534914125961,1.0,1.0,0.8342638132385893,9.228
FR,2012,16.91441,14.496727,96.5647580861383,0.183835264973013,1.08204690089583,4.29452327369679,-0.0534111551739879,0.75,0.75,-0.0534254240124987,9.841
FR,2013,19.35971,15.384366,95.8633800361157,0.781756446231,0.747875807422233,4.49543407979547,-0.7263292156719836,0.25,0.25,-0.7289798289040306,9.913
FR,2014,16.62016,16.348588,93.9023038648568,0.997832947295251,0.570795054388284,3.72567893768622,-2.0456989629617395,0.05,0.05,-2.0669132025202157,10.273
FR,2015,18.60366,17.091871,94.9327464829679,1.06675474783462,1.13444009013935,3.52308121172511,1.0973560559218054,0.05,0.05,1.0913787925073135,10.354
FR,2016,19.79079,18.324429,96.7768804928285,0.860031075424033,0.517258232209031,3.49852745916487,1.9425689008075289,0.0,0.0,1.9239418731924476,10.057
FR,2017,20.00664,18.907634,99.7601541750693,2.08361485997399,0.586343157961707,2.85084082112563,3.082630548792986,0.0,0.0,3.0360718958164057,9.409
FR,2018,19.20898,18.762491,102.165152646548,1.64590872395887,1.11459331332806,2.74917800998469,2.410780628163578,0.0,0.0,2.3821800647721325,9.018
FR,2019,19.79179,19.559317,104.415298896459,2.02744646419237,1.21052308336793,2.51442386618475,2.2024596367957727,0.0,0.0,2.178555838815033,8.415
FR,2020,18.992,19.869128,121.058439887361,-7.44064589948231,2.97797868174696,2.38440087259746,15.939370156288856,0.0,0.0,14.789719741166165,8.009
FR,2021,19.97747,,116.248567691996,6.88233783360239,1.22181614073425,2.1692050101449,-3.973182043185386,0.0,0.0,-4.054267981542026,7.874
FR,2022,,,114.587591110308,2.57084047567793,3.22063216992299,2.0781054407903,-1.428814663840683,2.5,2.5,-1.4391205059324896,7.308
GR,2000,,13.6,,4.13782699405849,1.61880051326631,,,4.75,4.75,,11.345
GR,2001,,12.4,51.5873930939324,4.65041459442163,3.47068701648989,,18.31501831501832,3.25,3.25,,10.764
GR,2002,,10.5,54.7522623827404,4.68313727063017,2.95365642320316,,6.134966508280959,2.75,2.75,5.954136715054226,10.346
