
country,year,bank_z_score,bank_z_score_avail,npl_ratio,npl_ratio_filled,imputed_npl,capital_adequacy_ratio,capital_adequacy_ratio_filled,imputed_tier1,credit_to_gdp_ratio,credit_to_gdp_gap,credit_growth,credit_growth_log,gdp_growth,inflation,unemployment,policy_rate,financial_crisis_dummy,debt_crisis_dummy,covid_dummy
GR,2004,4.80545,1,,2.47019680774369,1,12.8,12.8,0,63.7510243233114,-6.270456475346336,8.774429405110396,8.41060969612295,5.37786634595851,2.96881070204127,10.628,2.0,0,0,0
GR,2005,5.112296,1,,2.47019680774369,1,13.2,13.2,0,73.5213401671145,-2.740570029408332,15.325739386167726,14.25904547612129,1.18350635493289,1.90041788925922,10.074,2.25,0,0,0
GR,2006,5.180621,1,,2.47019680774369,1,12.2,12.2,0,77.4082458435678,-5.093691646152578,5.286772068651535,5.151760388048476,6.44339762487436,3.36453600825695,8.906,3.5,0,0,0
GR,2007,5.11802,1,,2.47019680774369,1,11.3,11.3,0,85.6601665139535,-2.959012632754238,10.660260519353182,10.129460571146254,3.50686976639459,3.36710379338597,8.351,4.0,0,0,0
GR,2008,3.458258,1,2.47019680774369,2.47019680774369,0,10.0,10.0,0,90.3657343188434,-4.074580400637458,5.493297522511109,5.347723431756446,0.0574740238200775,4.06288884890627,7.664,2.5,1,0,0
GR,2009,4.494339,1,3.7737094478324,3.7737094478324,0,11.7,11.7,0,89.0724978615806,-10.689935772127528,-1.4311137590049094,-1.44145295427327,-4.11927606715011,2.36843430509732,9.546,1.0,1,0,0
GR,2010,3.888523,1,5.62295516381546,5.62295516381546,0,12.25933,12.25933,0,112.647901748453,8.306022237401422,26.467657753921724,23.48164195608824,-5.6937412158003,1.18092065228493,12.719,1.0,1,0,0
GR,2011,-0.1872253,1,9.19946087632775,9.19946087632775,0,10.273697,10.273697,0,119.010204246774,11.18210763132204,5.647954732905958,5.494219899312824,-9.87677875300243,0.976657802861098,17.973,1.0,0,1,0
GR,2012,2.27715,1,15.7182240298714,15.7182240298714,0,9.5685238,9.5685238,0,119.937064375394,9.983474942169906,0.7788072749611574,0.775790225645423,-8.33113421099992,-0.334569925784251,24.731,0.75,0,1,0
GR,2013,7.468579,1,27.8147390613922,27.8147390613922,0,13.50814,13.50814,0,119.564505401844,9.001821874847991,-0.3106287247317651,-0.3111121771759428,-2.27211699888024,-1.9603216018036,27.686,0.25,0,1,0
