
country,year,short_nominal_cs,inflation,real_rate_cs
AT,2000,4.85,1.36731376651514,3.4826862334848596
AT,2001,3.35,1.93728378622546,1.4127162137745402
AT,2002,2.85,1.10421528982809,1.7457847101719102
AT,2003,2.1,1.26700269317527,0.83299730682473
AT,2004,2.1,1.72796196359026,0.37203803640974
AT,2005,2.35,2.53196784657297,-0.18196784657296972
AT,2006,3.6,2.04461997957617,1.5553800204238302
AT,2007,4.1,2.25927088756023,1.8407291124397696
AT,2008,2.6,1.93379071320683,0.6662092867931702
AT,2009,1.1,1.73939280154138,-0.6393928015413799
AT,2010,1.1,0.891338694909649,0.20866130509035108
AT,2011,1.1,1.81993743804168,-0.7199374380416799
AT,2012,0.85,2.09166476490424,-1.24166476490424
AT,2013,0.35,1.70872288191161,-1.3587228819116102
AT,2014,0.1500000007450581,2.00674413208939,-1.8567441313443318
AT,2015,0.1500000007450581,2.29263470154871,-2.1426347008036517
AT,2016,0.1,1.81475082333313,-1.71475082333313
AT,2017,0.1,0.975317906732371,-0.875317906732371
AT,2018,0.1,1.81047996133594,-1.7104799613359398
AT,2019,0.1,1.47368502823586,-1.37368502823586
AT,2020,0.1,2.59313253599376,-2.4931325359937597
AT,2021,0.1,1.9261293509801,-1.8261293509801
AT,2022,2.6,4.75477807605142,-2.15477807605142
BE,2000,4.95,2.01459208675317,2.9354079132468303
BE,2001,3.45,1.98281811777269,1.4671818822273102
BE,2002,2.95,1.63999808262712,1.31000191737288
BE,2003,2.2,1.85011626988718,0.34988373011282015
BE,2004,2.2,1.91498861024229,0.28501138975771023
BE,2005,2.45,2.08307333949642,0.36692666050358014
BE,2006,3.7,2.26471618933262,1.43528381066738
BE,2007,4.2,1.93167835957435,2.26832164042565
BE,2008,2.7,1.90886937353629,0.7911306264637101
BE,2009,1.2,0.781821174283053,0.418178825716947
BE,2010,1.2,1.70310444520605,-0.50310444520605
BE,2011,1.2,2.29252172328242,-1.09252172328242
BE,2012,0.95,2.20573642403188,-1.2557364240318802
BE,2013,0.45,1.41248965471736,-0.96248965471736
BE,2014,0.2500000007450581,0.840395740063599,-0.5903957393185408
BE,2015,0.2500000007450581,1.12183851916816,-0.8718385184231018
BE,2016,0.2,1.89528913569444,-1.69528913569444
BE,2017,0.2,1.98316343604859,-1.78316343604859
BE,2018,0.2,1.71728236623039,-1.51728236623039
BE,2019,0.2,1.85424076568934,-1.65424076568934
BE,2020,0.2,1.59611667576401,-1.39611667576401
BE,2021,0.2,2.74262712757394,-2.54262712757394
BE,2022,2.7,6.84397581715184,-4.14397581715184
